,Brand,Model,Varient,Manufacture Year,Driven Kilometers,Fuel,Number of Owner,Body Type,Location,Price
28,Maruti,Celerio,VXI AMT,2016,"24,250km",Petrol,First Owner,Hatchback,Delhi,371099.0
29,Maruti,Alto,800 LXI,2016,"21,305km",Petrol,First Owner,Hatchback,Delhi,305899.0
30,Maruti,Alto,K10 VXI (O) AMT,2017,"20,764km",Petrol,Second Owner,Hatchback,Delhi,369299.0
31,Maruti,Swift,VXI,2012,"34,092km",Petrol,First Owner,Hatchback,Delhi,329399.0
32,Maruti,Alto,800 VXI,2016,"24,069km",Petrol,First Owner,Hatchback,Delhi,280799.0
33,Maruti,Alto,LXI,2010,"56,231km",Petrol,Second Owner,Hatchback,Delhi,174199.0
34,Maruti,A,Star VXI ABS AT,2010,"24,699km",Petrol,First Owner,Hatchback,Delhi,231799.0
35,Datsun,Redi,Go 1.0 S AT,2018,"21,341km",Petrol,First Owner,Hatchback,Delhi,362499.0
36,Maruti,Alto,K10 VXI,2011,"24,353km",Petrol,First Owner,Hatchback,Delhi,208799.0
37,Maruti,Alto,K10 VXI,2012,"43,148km",Petrol,First Owner,Hatchback,Delhi,213899.0
38,Maruti,Swift,VDI,2013,"45,014km",Diesel,First Owner,Hatchback,Delhi,357599.0
39,Maruti,Swift,VDI,2013,"50,647km",Diesel,Second Owner,Hatchback,Delhi,342499.0
40,Maruti,Alto,K10 LXI,2012,"33,175km",Petrol,First Owner,Hatchback,Delhi,240799.0
41,Maruti,Swift,VDI,2012,"35,969km",Diesel,First Owner,Hatchback,Delhi,325099.0
42,Hyundai,Grand,i10 SPORTZ 1.2 KAPPA VTVT,2016,"41,227km",Petrol,Third Owner,Hatchback,Delhi,374499.0
43,Maruti,Zen,Estilo VXI,2010,"50,189km",Petrol,Second Owner,Hatchback,Delhi,173499.0
44,Maruti,Baleno,DELTA 1.2 K12,2016,"35,013km",Petrol,First Owner,Hatchback,Delhi,459099.0
45,Hyundai,Grand,i10 MAGNA 1.2 VTVT,2013,"43,986km",Petrol,First Owner,Hatchback,Delhi,382299.0
46,Maruti,Swift,VDI,2012,"47,140km",Diesel,First Owner,Hatchback,Delhi,326099.0
47,Maruti,Ritz,LXI,2010,"26,740km",Petrol,First Owner,Hatchback,Delhi,241999.0
48,Renault,Kwid,1.0 RXT Opt,2019,"15,629km",Petrol,First Owner,Hatchback,Delhi,368099.0
49,Maruti,Swift,LXI,2013,"43,265km",Petrol,Third Owner,Hatchback,Delhi,330599.0
50,Maruti,Alto,K10 LXI,2012,"42,321km",Petrol,First Owner,Hatchback,Delhi,201099.0
51,Maruti,Alto,K10 VXI,2017,"18,905km",Petrol,First Owner,Hatchback,Delhi,340799.0
52,Maruti,A,Star LXI,2011,"53,953km",Petrol,First Owner,Hatchback,Delhi,186599.0
53,Maruti,Celerio,VXI,2014,"43,574km",Petrol,First Owner,Hatchback,Delhi,300399.0
54,Hyundai,Elite,i20 SPORTZ (O) 1.4,2015,"58,080km",Diesel,Second Owner,Hatchback,Delhi,506199.0
55,Hyundai,Grand,i10 SPORTZ 1.2 KAPPA VTVT,2013,"43,969km",Petrol,First Owner,Hatchback,Delhi,380499.0
56,Maruti,Ritz,ZXI,2010,"41,832km",Petrol,First Owner,Hatchback,Delhi,251999.0
57,Maruti,Alto,800 LXI,2017,"23,227km",Petrol,First Owner,Hatchback,Delhi,267199.0
58,Volkswagen,Polo,COMFORTLINE 1.2L PETROL,2013,"49,148km",Petrol,Second Owner,Hatchback,Delhi,306399.0
59,Maruti,A,Star LXI,2009,"30,403km",Petrol,First Owner,Hatchback,Delhi,170799.0
60,Hyundai,Elite,i20 MAGNA 1.4 CRDI,2014,"56,402km",Diesel,First Owner,Hatchback,Delhi,447099.0
61,Maruti,Alto,800 LXI,2018,"10,123km",Petrol,First Owner,Hatchback,Delhi,283199.0
62,Maruti,Alto,K10 LXI,2016,"32,519km",Petrol,First Owner,Hatchback,Delhi,295399.0
63,Maruti,Wagon,R 1.0 VXI,2018,"37,274km",Petrol,First Owner,Hatchback,Delhi,378199.0
64,Maruti,Alto,K10 VXI,2017,"30,113km",Petrol,First Owner,Hatchback,Delhi,306999.0
65,Maruti,Alto,K10 VXI,2015,"46,683km",Petrol,First Owner,Hatchback,Delhi,263399.0
66,Renault,Kwid,RXT,2018,"33,824km",Petrol,First Owner,Hatchback,Delhi,322799.0
67,Maruti,Alto,800 VXI,2016,"32,339km",Petrol,First Owner,Hatchback,Delhi,269599.0
68,Maruti,Ritz,LXI,2010,"54,953km",Petrol,First Owner,Hatchback,Delhi,242699.0
69,Maruti,Ritz,VDI,2012,"41,213km",Diesel,First Owner,Hatchback,Delhi,243799.0
70,Maruti,Swift,VDI,2013,"49,173km",Diesel,First Owner,Hatchback,Delhi,310199.0
71,Maruti,Alto,LXI,2009,"35,919km",Petrol,First Owner,Hatchback,Delhi,171699.0
72,Honda,Brio,1.2 VX MT I VTEC,2015,"41,441km",Petrol,Second Owner,Hatchback,Delhi,342199.0
73,Maruti,Ritz,VXI BS IV,2011,"59,945km",Petrol,Third Owner,Hatchback,Delhi,258399.0
74,Hyundai,i10,MAGNA 1.1 IRDE2,2011,"29,101km",Petrol,Third Owner,Hatchback,Delhi,238999.0
75,Renault,Kwid,RXT,2016,"27,806km",Petrol,Second Owner,Hatchback,Delhi,264799.0
76,Volkswagen,Polo,COMFORTLINE PLUS 1.0,2020,"14,468km",Petrol,First Owner,Hatchback,Delhi,601899.0
77,Maruti,Ritz,LXI,2010,"59,370km",Petrol,Second Owner,Hatchback,Delhi,181999.0
78,Maruti,Alto,K10 VXI,2018,"3,212km",Petrol,First Owner,Hatchback,Delhi,367999.0
79,Maruti,Alto,800 VXI,2014,"37,134km",Petrol,First Owner,Hatchback,Delhi,256399.0
80,Maruti,Alto,K10 VXI,2014,"51,228km",Petrol,First Owner,Hatchback,Delhi,260499.0
81,Maruti,Alto,K10 VXI,2011,"51,523km",Petrol,First Owner,Hatchback,Delhi,228799.0
82,Honda,Brio,1.2 S MT I VTEC,2015,"58,396km",Petrol,Second Owner,Hatchback,Delhi,340899.0
83,Honda,Brio,1.2 V MT I VTEC,2012,"58,581km",Petrol,First Owner,Hatchback,Delhi,233099.0
84,Maruti,Ritz,ZXI ABS,2014,"61,249km",Petrol,First Owner,Hatchback,Delhi,310599.0
85,Maruti,Swift,VDI ABS,2015,"37,481km",Diesel,First Owner,Hatchback,Delhi,411999.0
86,Maruti,Ritz,ZXI,2014,"58,664km",Petrol,First Owner,Hatchback,Delhi,326499.0
87,Maruti,Swift,LXI,2014,"23,888km",Petrol,First Owner,Hatchback,Delhi,451299.0
88,Maruti,Swift,VXI,2014,"61,261km",Petrol,Second Owner,Hatchback,Delhi,379099.0
89,Maruti,Swift,LXI,2012,"65,916km",Petrol,First Owner,Hatchback,Delhi,324399.0
90,Maruti,Celerio,VXI,2019,"11,873km",Petrol,First Owner,Hatchback,Delhi,387299.0
91,Hyundai,Elite,i20 Magna Executive 1.2,2017,"34,782km",Petrol,First Owner,Hatchback,Delhi,544899.0
92,Maruti,Alto,K10 VXI,2010,"63,843km",Petrol,Third Owner,Hatchback,Delhi,173799.0
93,Hyundai,i10,MAGNA 1.2,2010,"29,993km",Petrol,First Owner,Hatchback,Delhi,213799.0
94,Maruti,Wagon,R LXI MINOR,2008,"56,724km",Petrol,First Owner,Hatchback,Delhi,175499.0
95,Renault,Kwid,RXL1.0 EASY-R AT,2017,"32,258km",Petrol,First Owner,Hatchback,Delhi,294599.0
96,Hyundai,Grand,i10 SPORTZ 1.2 KAPPA VTVT,2017,"35,013km",Petrol,Second Owner,Hatchback,Delhi,428399.0
97,Maruti,Swift,VDI,2013,"45,478km",Diesel,First Owner,Hatchback,Delhi,329299.0
98,Maruti,Swift,VXI,2017,"15,891km",Petrol,First Owner,Hatchback,Delhi,531899.0
99,Maruti,Wagon,R LXI MINOR,2009,"36,035km",Petrol,First Owner,Hatchback,Delhi,167899.0
100,Maruti,Wagon,R 1.0 LXI,2011,"59,276km",Petrol,Second Owner,Hatchback,Delhi,225299.0
101,Maruti,Alto,800 LXI,2016,"36,717km",Petrol,First Owner,Hatchback,Delhi,282499.0
102,Maruti,Baleno,DELTA 1.2 K12,2019,"14,977km",Petrol,First Owner,Hatchback,Delhi,629299.0
103,Toyota,Etios,Liva GD,2012,"61,443km",Diesel,First Owner,Hatchback,Delhi,304899.0
104,Tata,Tiago,XT 1.2 REVOTRON,2016,"59,746km",Petrol,First Owner,Hatchback,Delhi,391999.0
105,Maruti,Swift,VDI,2013,"58,850km",Diesel,First Owner,Hatchback,Delhi,330099.0
106,Tata,Tiago,XM 1.2 REVOTRON,2016,"43,387km",Petrol,First Owner,Hatchback,Delhi,323099.0
107,Renault,Kwid,RXT Opt,2018,"32,716km",Petrol,Second Owner,Hatchback,Delhi,297999.0
108,Hyundai,i10,SPORTZ 1.2 KAPPA2,2011,"53,077km",Petrol,First Owner,Hatchback,Delhi,265699.0
109,Hyundai,Elite,i20 MAGNA 1.4 CRDI,2015,"52,659km",Diesel,Second Owner,Hatchback,Delhi,444399.0
110,Maruti,Alto,LXI,2009,"55,752km",Petrol,First Owner,Hatchback,Delhi,143799.0
111,Hyundai,i20,MAGNA 1.2 VTVT,2009,"86,251km",Petrol,Second Owner,Hatchback,Delhi,178699.0
112,Hyundai,i10,ERA 1.1 IRDE,2010,"37,419km",Petrol,Second Owner,Hatchback,Delhi,221499.0
113,Maruti,Swift,VDI,2013,"66,350km",Diesel,First Owner,Hatchback,Delhi,311399.0
114,Datsun,Redi,Go A,2018,"50,472km",Petrol,First Owner,Hatchback,Delhi,225299.0
115,Maruti,Alto,800 LXI,2015,"50,024km",Petrol,First Owner,Hatchback,Delhi,266999.0
116,Maruti,Ritz,VXI BS IV,2011,"76,919km",Petrol,First Owner,Hatchback,Delhi,242799.0
117,Hyundai,Grand,i10 MAGNA 1.2 VTVT,2016,"65,895km",Petrol,Third Owner,Hatchback,Delhi,378599.0
118,Maruti,Alto,LXI,2010,"70,239km",Petrol,First Owner,Hatchback,Delhi,150499.0
119,Maruti,Swift,VDI ABS,2017,"68,792km",Diesel,First Owner,Hatchback,Delhi,491599.0
120,Hyundai,i10,MAGNA 1.1 IRDE2,2011,"66,492km",Petrol,First Owner,Hatchback,Delhi,257299.0
121,Maruti,Swift,VDI,2013,"68,546km",Diesel,First Owner,Hatchback,Delhi,346899.0
122,Hyundai,i10,SPORTZ 1.2,2008,"66,404km",Petrol,First Owner,Hatchback,Delhi,172299.0
123,Hyundai,Grand,i10 SPORTZ 1.2 KAPPA VTVT,2016,"35,754km",Petrol,Second Owner,Hatchback,Delhi,450199.0
124,Toyota,Etios,Liva GD,2013,"67,401km",Diesel,First Owner,Hatchback,Delhi,302099.0
125,Maruti,Swift,VDI ABS,2015,"61,216km",Diesel,Second Owner,Hatchback,Delhi,410499.0
126,Maruti,A,Star VXI,2009,"62,155km",Petrol,First Owner,Hatchback,Delhi,164799.0
127,Honda,Jazz,1.2 V AT,2018,"20,232km",Petrol,First Owner,Hatchback,Delhi,597799.0
128,Hyundai,Elite,i20 1.4 CRDI ASTA (O),2016,"44,364km",Diesel,Second Owner,Hatchback,Delhi,546199.0
129,Maruti,Alto,800 LXI,2017,"65,151km",Petrol,First Owner,Hatchback,Delhi,287399.0
130,Maruti,Swift,VDI,2013,"63,561km",Diesel,First Owner,Hatchback,Delhi,350599.0
131,Hyundai,i10,MAGNA 1.2 KAPPA2,2011,"73,012km",Petrol,Second Owner,Hatchback,Delhi,241599.0
132,Hyundai,Elite,i20 ASTA 1.2,2015,"59,466km",Petrol,First Owner,Hatchback,Delhi,505899.0
133,Maruti,Alto,800 LXI,2017,"41,185km",Petrol,First Owner,Hatchback,Delhi,286499.0
134,Maruti,Swift,VDI ABS,2015,"59,849km",Diesel,First Owner,Hatchback,Delhi,425399.0
135,Maruti,Ritz,VXI,2009,"62,936km",Petrol,First Owner,Hatchback,Delhi,239799.0
136,Maruti,Swift,LXI 1.3,2008,"86,350km",Petrol,First Owner,Hatchback,Delhi,189999.0
137,Maruti,Celerio,ZXI,2016,"72,059km",Petrol,First Owner,Hatchback,Delhi,352499.0
138,Toyota,Etios,Liva D-4D VXD,2014,"59,700km",Diesel,Second Owner,Hatchback,Delhi,374799.0
139,Maruti,Wagon,R 1.0 LXI,2011,"49,767km",Petrol,Second Owner,Hatchback,Delhi,211399.0
140,Maruti,Swift,VDI,2014,"64,031km",Diesel,First Owner,Hatchback,Delhi,403899.0
141,Maruti,Zen,Estilo LXI,2010,"66,275km",Petrol,Second Owner,Hatchback,Delhi,179099.0
142,Maruti,Swift,LXI 1.3,2008,"61,909km",Petrol,First Owner,Hatchback,Delhi,196299.0
143,Maruti,Swift,ZDI,2012,"80,936km",Diesel,First Owner,Hatchback,Delhi,309499.0
144,Maruti,Alto,LXI,2008,"62,613km",Petrol,First Owner,Hatchback,Delhi,141099.0
145,Hyundai,i20,SPORTZ 1.2 VTVT,2014,"70,969km",Petrol,Second Owner,Hatchback,Delhi,345199.0
146,Hyundai,i20,SPORTZ 1.4 CRDI,2012,"85,411km",Diesel,Second Owner,Hatchback,Delhi,259799.0
147,Hyundai,i10,MAGNA 1.1 IRDE2,2012,"83,685km",Petrol,First Owner,Hatchback,Delhi,208199.0
148,Hyundai,i10,MAGNA 1.2 KAPPA2,2010,"87,770km",Petrol,First Owner,Hatchback,Delhi,195799.0
149,Maruti,Swift,ZXI,2012,"70,522km",Petrol,First Owner,Hatchback,Delhi,399599.0
150,Maruti,Swift,ZDI,2014,"72,636km",Diesel,First Owner,Hatchback,Delhi,428799.0
151,Maruti,Ritz,VDI,2013,"66,549km",Diesel,First Owner,Hatchback,Delhi,300499.0
152,Maruti,Swift,ZXI,2015,"67,696km",Petrol,First Owner,Hatchback,Delhi,381399.0
153,Hyundai,i10,MAGNA 1.2,2008,"69,701km",Petrol,First Owner,Hatchback,Delhi,164599.0
154,Hyundai,i10,MAGNA 1.2 KAPPA2,2011,"85,761km",Petrol,First Owner,Hatchback,Delhi,204499.0
155,Maruti,Swift,VDI ABS,2015,"63,642km",Diesel,First Owner,Hatchback,Delhi,393099.0
156,Volkswagen,Polo,COMFORTLINE 1.2L DIESEL,2012,"69,584km",Diesel,First Owner,Hatchback,Delhi,326699.0
157,Honda,Jazz,1.2 BASE I VTEC,2010,"69,305km",Petrol,First Owner,Hatchback,Delhi,318499.0
158,Hyundai,i10,SPORTZ 1.2 KAPPA2,2011,"79,303km",Petrol,First Owner,Hatchback,Delhi,211999.0
159,Maruti,Wagon,R 1.0 LXI,2018,"69,958km",Petrol,First Owner,Hatchback,Delhi,366099.0
160,Hyundai,Grand,i10 SPORTZ 1.1 CRDI,2013,"64,179km",Diesel,First Owner,Hatchback,Delhi,283299.0
161,Maruti,A,Star VXI,2009,"81,050km",Petrol,Second Owner,Hatchback,Delhi,162999.0
162,Toyota,Etios,Liva D 4D GD,2013,"65,986km",Diesel,First Owner,Hatchback,Delhi,314299.0
163,Maruti,Alto,LXI,2009,"57,864km",Petrol,First Owner,Hatchback,Delhi,143199.0
164,Maruti,Ritz,VDI,2013,"70,687km",Diesel,First Owner,Hatchback,Delhi,278899.0
165,Maruti,Swift,VDI,2013,"70,684km",Diesel,First Owner,Hatchback,Delhi,334999.0
166,Hyundai,i20,SPORTZ 1.4 CRDI,2012,"97,289km",Diesel,Second Owner,Hatchback,Delhi,269999.0
167,Maruti,Ritz,VDI,2015,"64,475km",Diesel,First Owner,Hatchback,Delhi,294699.0
168,Maruti,Ritz,VDI,2013,"76,553km",Diesel,First Owner,Hatchback,Delhi,273599.0
169,Hyundai,Grand,i10 SPORTS 1.2 VTVT,2016,"54,578km",Petrol + CNG,Second Owner,Hatchback,Delhi,366699.0
170,Maruti,Swift,VDI ABS,2015,"66,476km",Diesel,First Owner,Hatchback,Delhi,406099.0
171,Maruti,Swift,VXI,2011,"78,545km",Petrol,First Owner,Hatchback,Delhi,323499.0
172,Maruti,Swift,VDI,2012,"76,353km",Diesel,First Owner,Hatchback,Delhi,308299.0
173,Hyundai,i20,SPORTZ 1.4 CRDI,2012,"79,907km",Diesel,Second Owner,Hatchback,Delhi,278499.0
174,Maruti,Alto,800 LXI,2015,"61,907km",Petrol,First Owner,Hatchback,Delhi,231799.0
175,Maruti,Swift,VDI,2014,"70,681km",Diesel,Second Owner,Hatchback,Delhi,337099.0
176,Maruti,Swift,VDI ABS,2015,"80,910km",Diesel,First Owner,Hatchback,Delhi,405899.0
177,Maruti,Alto,K10 LXI,2011,"80,346km",Petrol,First Owner,Hatchback,Delhi,207499.0
178,Maruti,Swift,VDI,2012,"84,213km",Diesel,First Owner,Hatchback,Delhi,317399.0
179,Maruti,Swift,ZDI,2012,"79,122km",Diesel,Second Owner,Hatchback,Delhi,360299.0
180,Maruti,Ritz,VDI,2012,"80,575km",Diesel,Second Owner,Hatchback,Delhi,228399.0
181,Maruti,Swift,VDI,2012,"82,585km",Diesel,First Owner,Hatchback,Delhi,302799.0
182,Maruti,Swift,VDI,2012,"80,682km",Diesel,First Owner,Hatchback,Delhi,304899.0
183,Hyundai,Elite,i20 SPORTZ 1.2,2017,"74,267km",Petrol,First Owner,Hatchback,Delhi,499299.0
184,Hyundai,Elite,i20 MAGNA 1.4 CRDI,2015,"78,343km",Diesel,First Owner,Hatchback,Delhi,438699.0
185,Hyundai,i20,Active 1.4 S,2018,"70,732km",Diesel,First Owner,Hatchback,Delhi,534699.0
186,Maruti,Swift,ZDI,2012,"84,352km",Diesel,First Owner,Hatchback,Delhi,320299.0
187,Maruti,Swift,LDI BS IV,2013,"75,493km",Diesel,First Owner,Hatchback,Delhi,301499.0
188,Maruti,Swift,VDI,2013,"74,429km",Diesel,Second Owner,Hatchback,Delhi,313099.0
189,Maruti,Alto,LXI,2008,"83,258km",Petrol,First Owner,Hatchback,Delhi,134599.0
190,Maruti,Swift,VDI,2015,"86,567km",Diesel,First Owner,Hatchback,Delhi,363699.0
191,Hyundai,i10,MAGNA 1.2,2008,"94,707km",Petrol,First Owner,Hatchback,Delhi,157499.0
192,Maruti,Ritz,LXI,2010,"1,01,633km",Petrol,Second Owner,Hatchback,Delhi,210799.0
193,Maruti,Swift,VDI,2013,"67,011km",Diesel,First Owner,Hatchback,Delhi,345399.0
194,Maruti,Ritz,VXI,2009,"80,590km",Petrol,First Owner,Hatchback,Delhi,251299.0
195,Honda,Brio,1.2 S MT I VTEC,2015,"71,317km",Petrol,Third Owner,Hatchback,Delhi,265699.0
196,Maruti,Ritz,LXI,2010,"75,699km",Petrol + CNG,Third Owner,Hatchback,Delhi,237799.0
197,Maruti,Swift,VXI,2014,"71,876km",Petrol,First Owner,Hatchback,Delhi,382199.0
198,Maruti,Swift,VDI ABS,2015,"92,086km",Diesel,First Owner,Hatchback,Delhi,389099.0
199,Maruti,Alto,K10 VXI,2016,"85,207km",Petrol,Second Owner,Hatchback,Delhi,268299.0
200,Maruti,Alto,LXI,2008,"54,799km",Petrol,First Owner,Hatchback,Delhi,112399.0
201,Maruti,Swift,VDI,2014,"71,382km",Diesel,First Owner,Hatchback,Delhi,347599.0
202,Maruti,Ritz,VDI,2012,"86,937km",Diesel,Second Owner,Hatchback,Delhi,264999.0
203,Maruti,Zen,Estilo VXI,2009,"98,519km",Petrol,First Owner,Hatchback,Delhi,160199.0
204,Maruti,Swift,VDI,2012,"95,400km",Diesel,Second Owner,Hatchback,Delhi,285899.0
205,Honda,Jazz,1.2 V AT,2015,"87,341km",Petrol,Second Owner,Hatchback,Delhi,445899.0
206,Fiat,Punto,EVO MULTIJET 1.3 90 HP,2014,"82,095km",Diesel,First Owner,Hatchback,Delhi,266799.0
207,Maruti,Swift,VXI,2017,"58,074km",Petrol,First Owner,Hatchback,Delhi,502299.0
208,Maruti,Swift,VDI,2014,"79,144km",Diesel,First Owner,Hatchback,Delhi,365999.0
209,Maruti,Swift,VDI ABS,2015,"76,042km",Diesel,First Owner,Hatchback,Delhi,417899.0
210,Maruti,Swift,VDI,2014,"72,597km",Diesel,First Owner,Hatchback,Delhi,359299.0
211,Hyundai,Santro,Xing GL,2008,"91,288km",Petrol,First Owner,Hatchback,Delhi,145399.0
212,Maruti,Swift,VDI ABS,2014,"83,368km",Diesel,First Owner,Hatchback,Delhi,360399.0
213,Maruti,Swift,VDI ABS,2015,"76,724km",Diesel,First Owner,Hatchback,Delhi,411699.0
214,Maruti,Ritz,VXI BS IV,2010,"1,61,419km",Petrol,Second Owner,Hatchback,Delhi,201799.0
215,Hyundai,Santro,Xing GLS,2008,"96,247km",Petrol,First Owner,Hatchback,Delhi,132799.0
216,Ford,Figo,1.4 LXI DURATORQ,2012,"1,09,230km",Diesel,First Owner,Hatchback,Delhi,224199.0
217,Maruti,Alto,K10 VXI,2011,"1,18,427km",Petrol,First Owner,Hatchback,Delhi,168499.0
218,Hyundai,i20,SPORTZ O 1.4 CRDI,2012,"87,995km",Diesel,Third Owner,Hatchback,Delhi,246599.0
219,Toyota,Etios,Liva GD,2012,"94,952km",Diesel,First Owner,Hatchback,Delhi,259299.0
220,Maruti,Swift,VDI,2013,"78,620km",Diesel,Second Owner,Hatchback,Delhi,355199.0
221,Maruti,Ritz,LDI,2012,"1,01,187km",Diesel,Second Owner,Hatchback,Delhi,204899.0
222,Maruti,Swift,VDI ABS,2015,"86,072km",Diesel,First Owner,Hatchback,Delhi,412999.0
223,Hyundai,i20,SPORTZ 1.4 CRDI,2013,"84,346km",Diesel,First Owner,Hatchback,Delhi,331699.0
224,Maruti,Zen,Estilo VXI,2009,"99,165km",Petrol,Second Owner,Hatchback,Delhi,148799.0
225,Maruti,Swift,VDI,2013,"82,591km",Diesel,First Owner,Hatchback,Delhi,331299.0
226,Toyota,Etios,Liva D 4D GD,2012,"87,914km",Diesel,First Owner,Hatchback,Delhi,260799.0
227,Maruti,Swift,VXI,2011,"95,427km",Petrol,Second Owner,Hatchback,Delhi,255499.0
228,Maruti,Swift,VDI,2013,"86,036km",Diesel,First Owner,Hatchback,Delhi,330399.0
229,Maruti,Swift,VDI,2012,"89,809km",Diesel,First Owner,Hatchback,Delhi,284699.0
230,Maruti,Swift,VDI ABS,2015,"85,611km",Diesel,First Owner,Hatchback,Delhi,407799.0
231,Hyundai,i10,ERA,2007,"1,09,750km",Petrol,First Owner,Hatchback,Delhi,155999.0
232,Maruti,Swift,VDI,2014,"82,346km",Diesel,First Owner,Hatchback,Delhi,347199.0
233,Maruti,Swift,VDI,2013,"87,567km",Diesel,First Owner,Hatchback,Delhi,332999.0
234,Maruti,Swift,VDI ABS,2015,"86,417km",Diesel,First Owner,Hatchback,Delhi,426199.0
235,Maruti,Swift,VDI,2013,"81,239km",Diesel,First Owner,Hatchback,Delhi,317599.0
236,Maruti,Swift,VDI ABS,2015,"72,533km",Diesel,Second Owner,Hatchback,Delhi,404499.0
237,Hyundai,Grand,i10 MAGNA 1.1 CRDI,2014,"85,203km",Diesel,Second Owner,Hatchback,Delhi,262399.0
238,Maruti,Swift,VDI,2014,"88,382km",Diesel,First Owner,Hatchback,Delhi,384899.0
239,Maruti,Swift,VDI,2013,"87,266km",Diesel,First Owner,Hatchback,Delhi,306099.0
240,Maruti,Baleno,ALPHA DDIS 190,2016,"81,175km",Diesel,First Owner,Hatchback,Delhi,527299.0
241,Hyundai,i20,ASTA 1.4 CRDI,2012,"1,08,007km",Diesel,Second Owner,Hatchback,Delhi,303699.0
242,Maruti,Swift,VDI,2012,"1,02,024km",Diesel,First Owner,Hatchback,Delhi,289999.0
243,Honda,Brio,1.2 S MT I VTEC,2013,"90,659km",Petrol,Second Owner,Hatchback,Delhi,232699.0
244,Hyundai,i20,MAGNA O 1.4 CRDI,2013,"94,267km",Diesel,First Owner,Hatchback,Delhi,313499.0
245,Maruti,Swift,VDI ABS,2015,"92,527km",Diesel,First Owner,Hatchback,Delhi,377399.0
246,Toyota,Etios,Liva GD exclusive,2013,"97,735km",Diesel,First Owner,Hatchback,Delhi,301099.0
247,Maruti,Swift,VDI,2012,"95,613km",Diesel,First Owner,Hatchback,Delhi,300599.0
248,Maruti,Ritz,LDI,2013,"97,984km",Diesel,First Owner,Hatchback,Delhi,219899.0
249,Maruti,Swift,VXI,2014,"91,931km",Petrol,First Owner,Hatchback,Delhi,361199.0
250,Honda,Jazz,1.2 BASE I VTEC,2010,"1,07,333km",Petrol,Second Owner,Hatchback,Delhi,235099.0
251,Maruti,Ritz,VXI BS IV,2011,"1,15,774km",Petrol,First Owner,Hatchback,Delhi,288199.0
252,Volkswagen,Polo,GT TSI,2018,"43,872km",Petrol,First Owner,Hatchback,Delhi,703899.0
